GEO_ID,NAME,Black_Pop,Black_HS_Grad_Or_Higher,Ratio
36001,"Albany County, New York",22690,19366,0.853503746
36003,"Allegany County, New York",226,213,0.942477876
36005,"Bronx County, New York",332469,267122,0.803449344
36007,"Broome County, New York",5916,4860,0.821501014
36009,"Cattaraugus County, New York",516,367,0.71124031
36011,"Cayuga County, New York",2316,1258,0.543177893
36013,"Chautauqua County, New York",1758,1274,0.724687144
36015,"Chemung County, New York",3326,2226,0.669272399
36017,"Chenango County, New York",241,177,0.734439834
36019,"Clinton County, New York",2462,1745,0.708773355
36021,"Columbia County, New York",1667,1352,0.811037792
36023,"Cortland County, New York",476,412,0.865546218
36025,"Delaware County, New York",438,403,0.920091324
36027,"Dutchess County, New York",21634,17925,0.828556901
36029,"Erie County, New York",76763,65124,0.848377474
36031,"Essex County, New York",978,641,0.655419223
36033,"Franklin County, New York",2009,1358,0.675958188
36035,"Fulton County, New York",596,453,0.760067114
36037,"Genesee County, New York",967,787,0.813857291
36039,"Greene County, New York",1820,1075,0.590659341
36041,"Hamilton County, New York",21,16,0.761904762
36043,"Herkimer County, New York",386,341,0.883419689
36045,"Jefferson County, New York",3629,3368,0.928079361
36047,"Kings County, New York",580295,497295,0.8569693
36049,"Lewis County, New York",159,125,0.786163522
36051,"Livingston County, New York",1291,920,0.712625871
36053,"Madison County, New York",359,268,0.746518106
36055,"Monroe County, New York",67528,54210,0.802778107
36057,"Montgomery County, New York",891,686,0.769921437
36059,"Nassau County, New York",109917,100644,0.915636344
36061,"New York County, New York",170730,142029,0.831892462
36063,"Niagara County, New York",8808,7548,0.856948229
36065,"Oneida County, New York",8131,5385,0.662280162
36067,"Onondaga County, New York",29918,23664,0.790961963
36069,"Ontario County, New York",1655,1389,0.839274924
36071,"Orange County, New York",28579,25393,0.888519542
36073,"Orleans County, New York",1831,1212,0.66193337
36075,"Oswego County, New York",448,377,0.841517857
36077,"Otsego County, New York",497,405,0.814889336
36079,"Putnam County, New York",2335,2188,0.937044968
36081,"Queens County, New York",303348,267309,0.881195854
36083,"Rensselaer County, New York",6787,5470,0.805952556
36085,"Richmond County, New York",31489,27532,0.87433707
36087,"Rockland County, New York",26346,22599,0.857777272
36089,"St. Lawrence County, New York",1596,878,0.550125313
36091,"Saratoga County, New York",2550,2163,0.848235294
36093,"Schenectady County, New York",9501,8324,0.876118303
36095,"Schoharie County, New York",186,155,0.833333333
36097,"Schuyler County, New York",114,86,0.754385965
36099,"Seneca County, New York",1318,622,0.471927162
36101,"Steuben County, New York",1063,848,0.797742239
36103,"Suffolk County, New York",75033,64753,0.862993616
36105,"Sullivan County, New York",4257,3224,0.75734085
36107,"Tioga County, New York",336,299,0.889880952
36109,"Tompkins County, New York",1672,1580,0.944976077
36111,"Ulster County, New York",7797,6065,0.777863281
36113,"Warren County, New York",634,480,0.757097792
36115,"Washington County, New York",1287,638,0.495726496
36117,"Wayne County, New York",1474,1026,0.696065129
36119,"Westchester County, New York",100939,88286,0.874647064
36121,"Wyoming County, New York",1360,858,0.630882353
36123,"Yates County, New York",117,38,0.324786325